trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
152,False,"{'a': 0.5, 'e': 0.21704489667280757}",30,22,3.661068396383421,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1,7,0,1,0,0
153,False,"{'a': 0.5, 'e': 0.2148744477060795}",20,2,-16.941664315027808,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1,17,0,0,0,1
154,False,"{'a': 0.5, 'e': 0.2127257032290187}",20,0,19.193020813198697,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0,19,1,0,0,0
155,False,"{'a': 0.5, 'e': 0.21059844619672852}",25,10,-70.50250530079364,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1,12,0,1,0,2
156,False,"{'a': 0.5, 'e': 0.20849246173476124}",20,0,31.69978328523442,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0,20,0,0,0,0
157,False,"{'a': 0.5, 'e': 0.2064075371174136}",25,2,30.92395074591056,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1,22,1,0,0,0
158,False,"{'a': 0.5, 'e': 0.2043434617462395}",25,0,24.715922709217146,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0,23,2,0,0,0
159,False,"{'a': 0.5, 'e': 0.2023000271287771}",25,18,1.5952421130309125,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1,6,0,1,0,0
160,False,"{'a': 0.5, 'e': 0.2002770268574893}",20,12,-9.071043536720028,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1,7,0,0,1,0
161,False,"{'a': 0.5, 'e': 0.19827425658891443}",20,11,-13.050662726085388,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1,7,1,0,1,0
162,False,"{'a': 0.5, 'e': 0.19629151402302528}",20,7,23.788120970380525,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1,13,0,0,0,0
163,False,"{'a': 0.5, 'e': 0.19432859888279502}",20,2,-10.696307168235064,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1,14,1,3,0,0
164,False,"{'a': 0.5, 'e': 0.19238531289396707}",25,11,22.945177496055717,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1,14,0,0,0,0
165,False,"{'a': 0.5, 'e': 0.1904614597650274}",20,8,16.736541102570886,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,12,0,0,0,0
166,False,"{'a': 0.5, 'e': 0.1885568451673771}",20,10,17.62879285956361,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1,10,0,0,0,0
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",25,12,1.7823435961746337,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1,11,0,2,0,0
168,False,"{'a': 0.5, 'e': 0.1848045639485463}",25,0,-19.182349489312504,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0,23,0,1,0,1
169,False,"{'a': 0.5, 'e': 0.18295651830906084}",25,7,11.376172206427633,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1,16,1,1,0,0
170,False,"{'a': 0.5, 'e': 0.18112695312597024}",30,2,-8.085824416659795,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 1}",1,26,0,1,0,1
171,False,"{'a': 0.5, 'e': 0.17931568359471053}",20,0,4.959779548547122,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0,18,0,2,0,0
172,False,"{'a': 0.5, 'e': 0.17752252675876343}",30,12,-7.329725538557724,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1,17,0,0,0,1
173,False,"{'a': 0.5, 'e': 0.1757473014911758}",20,0,-43.10643216165343,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1,16,1,2,0,1
174,False,"{'a': 0.5, 'e': 0.173989828476264}",20,9,16.997453437874835,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,11,0,0,0,0
175,False,"{'a': 0.5, 'e': 0.1722499301915014}",20,5,8.41662265376563,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1,14,0,1,0,0
176,False,"{'a': 0.5, 'e': 0.17052743088958636}",25,0,26.56001813403305,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0,24,0,1,0,0
177,False,"{'a': 0.5, 'e': 0.1688221565806905}",25,15,-4.5063416121744195,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1,8,0,2,0,0
178,False,"{'a': 0.5, 'e': 0.1671339350148836}",30,10,24.641136946466656,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1,18,2,0,0,0
179,False,"{'a': 0.5, 'e': 0.16546259566473476}",20,1,-29.958434805704883,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1,16,0,1,2,0
180,False,"{'a': 0.5, 'e': 0.16380796970808742}",20,11,18.417690197708914,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,9,0,0,0,0
181,False,"{'a': 0.5, 'e': 0.16216989001100654}",20,0,-9.507312337619528,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1,17,0,2,1,0
182,False,"{'a': 0.5, 'e': 0.16054819111089647}",25,3,32.07890175116006,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1,22,0,0,0,0
183,False,"{'a': 0.5, 'e': 0.1589427091997875}",30,10,35.82152976726991,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1,20,0,0,0,0
184,False,"{'a': 0.5, 'e': 0.15735328210778962}",25,7,-2.9745817313233562,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1,16,0,1,1,0
185,False,"{'a': 0.5, 'e': 0.15577974928671173}",20,0,-14.083695993099342,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0,19,0,0,0,1
