trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
196,False,"{'a': 0.5, 'e': 0.3743896431025813}",25,6,-13.205525034718214,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1,18,0,0,0,1
197,False,"{'a': 0.5, 'e': 0.37251769488706843}",20,9,-73.96497358899218,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1,8,0,1,0,2
198,False,"{'a': 0.5, 'e': 0.37065510641263305}",25,16,4.064349877751603,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1,8,0,1,0,0
199,False,"{'a': 0.5, 'e': 0.3688018308805699}",25,0,-7.7221089773471725,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0,21,2,2,0,0
200,False,"{'a': 0.5, 'e': 0.36695782172616703}",25,15,-2.3139237108438637,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1,8,0,2,0,0
201,False,"{'a': 0.5, 'e': 0.3651230326175362}",20,0,-9.601854469079868,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0,16,2,2,0,0
202,False,"{'a': 0.5, 'e': 0.36329741745444855}",30,9,-62.87085983420093,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 2}",1,17,2,0,0,2
203,False,"{'a': 0.5, 'e': 0.3614809303671763}",25,10,-6.742551315648031,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1,12,1,2,0,0
204,False,"{'a': 0.5, 'e': 0.3596735257153404}",30,7,-93.57376256292551,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 2}",1,18,0,2,1,2
205,False,"{'a': 0.5, 'e': 0.35787515808676373}",25,5,-5.303548906816722,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1,17,1,1,1,0
206,False,"{'a': 0.5, 'e': 0.35608578229632987}",20,0,-15.478708957229713,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0,16,0,4,0,0
207,False,"{'a': 0.5, 'e': 0.35430535338484825}",20,0,-48.391406152153046,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0,17,0,1,1,1
208,False,"{'a': 0.5, 'e': 0.352533826617924}",25,16,16.820684485656347,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,9,0,0,0,0
209,False,"{'a': 0.5, 'e': 0.3507711574848344}",20,5,-3.0329258716041405,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1,13,1,0,1,0
210,False,"{'a': 0.5, 'e': 0.3490173016974102}",30,13,-45.97451325650942,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1,13,1,2,0,1
211,False,"{'a': 0.5, 'e': 0.34727221518892315}",25,0,15.039014574187846,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0,23,1,1,0,0
212,False,"{'a': 0.5, 'e': 0.34553585411297855}",20,9,18.69022705149974,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,11,0,0,0,0
213,False,"{'a': 0.5, 'e': 0.34380817484241366}",25,0,-38.5047394748197,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0,21,1,2,0,1
214,False,"{'a': 0.5, 'e': 0.34208913396820156}",20,8,14.369831581238065,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1,11,1,0,0,0
215,False,"{'a': 0.5, 'e': 0.34037868829836054}",25,10,6.773589998152813,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1,13,0,2,0,0
216,False,"{'a': 0.5, 'e': 0.33867679485686875}",20,0,-25.73430104422412,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0,18,0,1,0,1
217,False,"{'a': 0.5, 'e': 0.33698341088258443}",20,3,-11.347467173269848,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1,13,2,2,0,0
218,False,"{'a': 0.5, 'e': 0.3352984938281715}",25,4,-82.6295965834863,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 2}",1,17,0,1,1,2
219,False,"{'a': 0.5, 'e': 0.33362200135903064}",25,18,12.072571352967408,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1,7,0,0,0,0
220,False,"{'a': 0.5, 'e': 0.33195389135223546}",30,20,1.0120139012977625,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1,9,0,1,0,0
221,False,"{'a': 0.5, 'e': 0.3302941218954743}",20,11,-4.791289789812967,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1,7,0,2,0,0
222,False,"{'a': 0.5, 'e': 0.3286426512859969}",20,14,8.889953540951716,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
223,False,"{'a': 0.5, 'e': 0.32699943802956694}",25,9,-35.42666241550917,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1,13,1,1,0,1
224,False,"{'a': 0.5, 'e': 0.3253644408394191}",25,8,27.55582507328687,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1,17,0,0,0,0
225,False,"{'a': 0.5, 'e': 0.323737618635222}",20,8,9.596904308476475,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1,11,0,1,0,0
226,False,"{'a': 0.5, 'e': 0.3221189305420459}",25,3,13.077053322787775,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1,20,0,2,0,0
227,False,"{'a': 0.5, 'e': 0.32050833588933564}",25,12,9.944699942472353,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1,12,0,1,0,0
228,False,"{'a': 0.5, 'e': 0.31890579420988896}",25,2,-12.763955685087208,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1,19,0,4,0,0
229,False,"{'a': 0.5, 'e': 0.3173112652388395}",25,19,14.016472580545086,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
230,False,"{'a': 0.5, 'e': 0.3157247089126453}",20,9,16.400234019989327,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1,10,1,0,0,0
231,False,"{'a': 0.5, 'e': 0.3141460853680821}",30,13,25.463940628956564,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1,17,0,0,0,0
232,False,"{'a': 0.5, 'e': 0.31257535494124167}",25,11,-27.488481354097853,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1,12,0,1,0,1
233,False,"{'a': 0.5, 'e': 0.3110124781665355}",20,10,-5.155768192428194,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1,8,0,2,0,0
234,False,"{'a': 0.5, 'e': 0.3094574157757028}",20,0,5.669234232295741,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0,18,0,2,0,0
235,False,"{'a': 0.5, 'e': 0.30791012869682427}",20,0,-54.3759467335545,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0,15,1,3,0,1
236,False,"{'a': 0.5, 'e': 0.30637057805334017}",20,0,-26.99203213948707,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0,16,0,3,1,0
237,False,"{'a': 0.5, 'e': 0.3048387251630735}",25,10,14.688397214654914,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1,13,2,0,0,0
238,False,"{'a': 0.5, 'e': 0.30331453153725807}",20,8,-32.66561232593795,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1,10,0,1,0,1
239,False,"{'a': 0.5, 'e': 0.3017979588795718}",25,0,11.276120720872136,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0,22,1,2,0,0
240,False,"{'a': 0.5, 'e': 0.30028896908517394}",25,7,-19.067332463999215,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1,14,0,4,0,0
241,False,"{'a': 0.5, 'e': 0.2987875242397481}",25,13,-44.05484269321145,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1,9,0,2,0,1
242,False,"{'a': 0.5, 'e': 0.2972935866185493}",20,0,-11.793717604318354,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0,17,1,1,1,0
243,False,"{'a': 0.5, 'e': 0.29580711868545656}",35,8,-2.6102026248461367,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 0}",1,22,3,2,0,0
244,False,"{'a': 0.5, 'e': 0.2943280830920293}",25,14,11.519560588331291,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1,10,0,1,0,0
245,False,"{'a': 0.5, 'e': 0.29285644267656913}",20,7,-17.574527967249328,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1,12,0,0,0,1
246,False,"{'a': 0.5, 'e': 0.2913921604631863}",20,14,13.670335202534124,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
247,False,"{'a': 0.5, 'e': 0.2899351996608704}",25,15,6.632688589961877,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1,9,0,1,0,0
248,False,"{'a': 0.5, 'e': 0.288485523662566}",20,12,14.411454385497617,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1,8,0,0,0,0
249,False,"{'a': 0.5, 'e': 0.2870430960442532}",20,14,12.974473978067543,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
250,False,"{'a': 0.5, 'e': 0.2856078805640319}",25,15,17.165355628573884,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1,10,0,0,0,0
251,False,"{'a': 0.5, 'e': 0.28417984116121175}",20,14,11.386827970571673,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
252,False,"{'a': 0.5, 'e': 0.2827589419554057}",25,6,-31.89607167111984,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1,16,0,2,0,1
253,False,"{'a': 0.5, 'e': 0.28134514724562865}",20,6,14.089308130687577,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1,13,0,1,0,0
254,False,"{'a': 0.5, 'e': 0.2799384215094005}",25,7,-15.854317221333252,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1,16,1,0,0,1
255,False,"{'a': 0.5, 'e': 0.27853872940185354}",25,7,-78.45865816024637,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1,14,0,2,0,2
256,False,"{'a': 0.5, 'e': 0.27714603575484426}",30,0,-8.166837316910678,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0,27,1,1,0,1
257,False,"{'a': 0.5, 'e': 0.27576030557607}",30,10,13.382743184198425,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1,19,0,0,1,0
258,False,"{'a': 0.5, 'e': 0.2743815040481897}",20,2,17.11998239576619,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1,17,0,1,0,0
259,False,"{'a': 0.5, 'e': 0.2730095965279487}",20,15,2.565844207575243,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1,4,1,0,0,0
260,False,"{'a': 0.5, 'e': 0.271644548545309}",20,15,2.9042212085021264,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1,4,1,0,0,0
