trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
243,False,"{'a': 0.5, 'e': 0.29580711868545656}",20,0,0.23628283843033449,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0,18,1,0,1,0
244,False,"{'a': 0.5, 'e': 0.2943280830920293}",25,4,23.07321250620532,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1,20,0,1,0,0
245,False,"{'a': 0.5, 'e': 0.29285644267656913}",20,4,9.916271900170226,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1,14,2,0,0,0
246,False,"{'a': 0.5, 'e': 0.2913921604631863}",30,0,-26.199210210082228,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0,27,1,1,0,1
247,False,"{'a': 0.5, 'e': 0.2899351996608704}",20,5,-6.885654601078726,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1,12,0,3,0,0
248,False,"{'a': 0.5, 'e': 0.288485523662566}",30,13,-33.2925977850842,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1,14,1,1,0,1
249,False,"{'a': 0.5, 'e': 0.2870430960442532}",20,6,23.667988718803294,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1,14,0,0,0,0
250,False,"{'a': 0.5, 'e': 0.2856078805640319}",25,13,-33.34589833563479,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1,10,0,1,0,1
251,False,"{'a': 0.5, 'e': 0.28417984116121175}",20,0,-36.19243899512926,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",1,16,1,1,2,0
252,False,"{'a': 0.5, 'e': 0.2827589419554057}",25,4,31.004770338089873,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1,20,1,0,0,0
253,False,"{'a': 0.5, 'e': 0.28134514724562865}",25,13,-3.9439039355975716,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1,10,0,2,0,0
254,False,"{'a': 0.5, 'e': 0.2799384215094005}",25,0,-28.971377744385354,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0,21,1,2,0,1
255,False,"{'a': 0.5, 'e': 0.27853872940185354}",20,12,-9.631257452068848,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1,6,0,2,0,0
256,False,"{'a': 0.5, 'e': 0.27714603575484426}",20,9,-21.38500724778841,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1,10,0,0,0,1
257,False,"{'a': 0.5, 'e': 0.27576030557607}",20,0,26.829917066633598,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0,20,0,0,0,0
258,False,"{'a': 0.5, 'e': 0.2743815040481897}",25,11,-13.306608242424577,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1,10,2,2,0,0
259,False,"{'a': 0.5, 'e': 0.2730095965279487}",20,11,2.442099580905463,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1,8,0,1,0,0
260,False,"{'a': 0.5, 'e': 0.271644548545309}",20,13,14.938641015124366,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1,7,0,0,0,0
261,False,"{'a': 0.5, 'e': 0.27028632580258244}",25,0,-15.069666210076397,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0,22,1,1,0,1
262,False,"{'a': 0.5, 'e': 0.2689348941735695}",25,6,-38.516634295033846,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1,16,0,2,0,1
263,False,"{'a': 0.5, 'e': 0.2675902197027017}",30,15,3.327766482081098,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1,13,0,2,0,0
264,False,"{'a': 0.5, 'e': 0.26625226860418816}",20,14,12.015304460637655,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
265,False,"{'a': 0.5, 'e': 0.26492100726116724}",35,9,-111.3358917851055,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 3}",1,20,1,2,0,3
266,False,"{'a': 0.5, 'e': 0.26359640222486136}",35,21,-9.43232654151996,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1,11,0,3,0,0
267,False,"{'a': 0.5, 'e': 0.2622784202137371}",25,9,-42.283754319093966,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1,12,1,2,0,1
268,False,"{'a': 0.5, 'e': 0.26096702811266836}",25,0,-53.02383839811922,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0,20,2,1,1,1
269,False,"{'a': 0.5, 'e': 0.259662192972105}",25,11,-25.771183052041152,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1,12,1,0,0,1
270,False,"{'a': 0.5, 'e': 0.2583638820072445}",20,0,-7.58477079429843,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0,18,0,1,1,0
271,False,"{'a': 0.5, 'e': 0.2570720625972083}",25,7,-35.04929601648611,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1,15,0,2,0,1
272,False,"{'a': 0.5, 'e': 0.25578670228422223}",20,6,0.8751459907192589,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1,12,1,1,0,0
273,False,"{'a': 0.5, 'e': 0.2545077687728011}",35,20,-108.31888118466699,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 2}",1,11,0,0,2,2
274,False,"{'a': 0.5, 'e': 0.25323522992893716}",25,15,8.000773057586487,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1,9,0,1,0,0
275,False,"{'a': 0.5, 'e': 0.25196905377929246}",30,8,10.131546389547827,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1,20,0,2,0,0
276,False,"{'a': 0.5, 'e': 0.25070920851039596}",30,6,-70.3339867128669,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 2}",1,19,1,2,0,2
277,False,"{'a': 0.5, 'e': 0.249455662467844}",25,8,6.994947716645529,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1,15,1,1,0,0
278,False,"{'a': 0.5, 'e': 0.24820838415550478}",20,0,-23.823731355259604,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0,18,0,1,0,1
279,False,"{'a': 0.5, 'e': 0.24696734223472724}",20,2,-23.1735380764972,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1,16,0,1,0,1
280,False,"{'a': 0.5, 'e': 0.2457325055235536}",25,3,3.389187201653104,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1,19,1,2,0,0
281,False,"{'a': 0.5, 'e': 0.24450384299593586}",30,21,19.28079776999499,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,9,0,0,0,0
282,False,"{'a': 0.5, 'e': 0.24328132378095618}",20,12,4.84598678496968,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1,7,1,0,0,0
283,False,"{'a': 0.5, 'e': 0.2420649171620514}",30,19,-36.70255403501077,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1,9,0,1,0,1
284,False,"{'a': 0.5, 'e': 0.24085459257624112}",25,0,-50.6383002876349,"{0: 20, 1: 0, 2: 2, 3: 3, 4: 0}",0,20,0,2,3,0
